id,name,unit,fill_value,display_name,standard_name,parameter_precision,parameter_function_id,parameter_function_map,data_product_identifier,description,data_level,data_product_type
1,conductivity,S m-1,,Seawater Conductivity,sea_water_electrical_conductivity,6,,,CONDWAT,Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater- such as salt- increases the electrical conducting ability of seawater. As such- conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater. Units: S m-1,L1,Science
2,pressure,dbar,,Seawater Pressure,sea_water_pressure,3,,,PRESWAT,Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: dbar,L1,Science
3,salinity,(unitless),,Practical Salinity,sea_water_practical_salinity,3,,,PRACSAL,Salinity is generally defined as the concentration of dissolved salt in a unit of seawater. Practical Salinity is a more specific unitless quantity calculated from the conductivity of seawater and adjusted for temperature and pressure. It is approximately equivalent to Absolute Salinity (the mass fraction of dissolved salt in seawater) but they are not interchangeable. Units: unitless,L2,Science
6,temp,deg_C,,Seawater Temperature,sea_water_temperature,4,,,TEMPWAT,Seawater temperature near the sensor. Units: degrees Celsius,L1,Science
7,time,seconds since 1900-01-01,,Time - UTC,time,20,,,,Time - UTC,ENG,Engineering
8,lat,degree_north,,Latitude,latitude,,,,,Instrument position Latitude in decimal degrees North.,AUX,Auxiliary
9,lon,degree_east,,Longitude,longitude,,,,,Instrument position Longitude in decimal degrees East.,AUX,Auxiliary
10,port_timestamp,seconds since 1900-01-01,,Port Timestamp - UTC,,6,,,,Port timestamp - UTC,ENG,Engineering
11,driver_timestamp,seconds since 1900-01-01,,Driver Timestamp - UTC,,6,,,,Driver timestamp - UTC,ENG,Engineering
12,internal_timestamp,seconds since 1900-01-01,,Internal Timestamp - UTC,,4,,,,Internal timestamp - UTC,ENG,Engineering
15,checksum,1,,Checksum,,0,,,,Checksum,ENG,Engineering
16,preferred_timestamp,1,,Preferred Timestamp,,4,,,,Timestamp preferred as official record.,ENG,Engineering
28,elapsed_time,s,,Time since reset,,,,,,Time in seconds since last reset,ENG,Engineering
29,pressure_temp,deg_C,,Internal temperature at the pressure sensor,,,,,,The temperature at the pressure sensor (inside the housing- but isolated from housing and the electronics.,AUX,Auxiliary
73,sample_number,count,,Sample Number,,0,,,,Number of samples recorded on the instrument,ENG,Engineering
74,sample_type,1,,Sample Type From Instrument,,0,,,,Sample type from instrument- which in this case should always be pressure.,ENG,Engineering
77,timestamp,1,,timestamp,,0,,,,,ENG,Engineering
80,battery_voltage,V,,Battery Voltage,,1,,,,Battery Voltage,ENG,Engineering
81,sound_speed_analog2,m s-1,,Speed of Sound,,1,,,,Speed of Sound,ENG,Engineering
83,pitch,degrees,,Compass Pitch,,1,,,,Compass Pitch,ENG,Engineering
84,roll,degrees,,Compass Roll,,1,,,,Compass Roll.,ENG,Engineering
86,temperature,deg_C,,Temperature Measurement,,0,,,,Temperature Measurement.,ENG,Engineering
93,date_time_string,1,,Date and Time String,,0,,,,A date and time string produced for each sample record.,ENG,Engineering
94,absolute_pressure,psi,,Seafloor Pressure,sea_water_pressure_at_sea_floor,4,,,SFLPRES-RTIME,Seafloor Pressure is a measurement of the force on the seafloor exerted by the weight of the overlying seawater column plus the weight of the atmosphere (hydrostatic plus atmospheric). This specific instance is the Level 0 unprocessed data product. Units: psi,L0,Science
113,firmware_version,1,,Firmware Version,,0,,,,Firmware version,ENG,Engineering
116,quartz_pressure_sensor_serial_number,counts,,Quartz Pressure Sensor Serial Number,,0,,,,,ENG,Engineering
117,pressure_sensor_range,psi,,Pressure Sensor Range,,0,,,,,ENG,Engineering
120,operational_current,mA,,Operational Current,,1,,,,,ENG,Engineering
