"id","name","unit","fill_value","display_name","standard_name","parameter_precision","parameter_function_id","parameter_function_map","data_product_identifier","description","data_level","data_product_type"
"1","conductivity","S m-1","-9999999","Seawater Conductivity","sea_water_electrical_conductivity","6",NULL,NULL,"CONDWAT_L1","Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater. Units: S m-1","1","Science Data"
"2","pressure","dbar","-9999999","Seawater Pressure","sea_water_pressure","3",NULL,NULL,"PRESWAT_L1","Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: dbar","1","Science Data"
"3","salinity","1","-9999999","Practical Salinity","sea_water_practical_salinity","3",NULL,NULL,"PRACSAL_L2","Salinity is generally defined as the concentration of dissolved salt in a parcel of seawater. Practical Salinity is a more specific unitless quantity calculated from the conductivity of seawater and adjusted for temperature and pressure. It is approximately equivalent to Absolute Salinity (the mass fraction of dissolved salt in seawater) but they are not interchangeable. Units: unitless","2","Science Data"
"5","density","kg m-3","-9999999","Seawater Density","sea_water_density","3",NULL,NULL,"DENSITY_L2","Seawater density is defined as mass per unit volume and is calculated using the temperature, salinity, and pressure of a seawater sample. Units: kg m-3","2","Science Data"
"6","temp","deg_C","-9999999","Seawater Temperature","sea_water_temperature","4",NULL,NULL,"TEMPWAT_L1","Seawater temperature near the sensor. Units: degrees Celsius","1","Science Data"
"7","time","seconds since 1900-01-01","-9999999","Time, UTC","time",NULL,NULL,NULL,NULL,"Time, UTC",NULL,NULL
"8","lat","degree_north","-9999999","Latitude","latitude",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9","lon","degree_east","-9999999","Longitude","longitude",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10","port_timestamp","seconds since 1900-01-01","-9999999","Port Timestamp, UTC",NULL,NULL,NULL,NULL,NULL,"Port timestamp, UTC",NULL,NULL
"11","driver_timestamp","seconds since 1900-01-01","-9999999","Driver Timestamp, UTC",NULL,NULL,NULL,NULL,NULL,"Driver timestamp, UTC",NULL,NULL
"12","internal_timestamp","seconds since 1900-01-01","-9999999","Internal Timestamp, UTC",NULL,NULL,NULL,NULL,NULL,"Internal timestamp, UTC",NULL,NULL
"15","checksum","1","-9999999","Checksum",NULL,"0",NULL,NULL,NULL,"Checksum",NULL,NULL
"16","preferred_timestamp","1","empty","Preferred Timestamp",NULL,NULL,NULL,NULL,NULL,"Timestamp preferred as official record.",NULL,NULL
"28","elapsed_time","s","-1","Time Since Reset",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"29","pressure_temp","deg_C","-9999","Pressure Sensor Internal Temperature",NULL,NULL,NULL,NULL,NULL,"The temperature at the pressure sensor (inside the housing, but isolated from housing and the electronics.",NULL,NULL
"73","sample_number","count","-9999","Sample Number",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
