"id","name","time_parameter","binsize_minutes","stream_type","stream_content","description"
"15","presf_tide_measurement","7","1440","Science","Tide Measurement Data Products","Science Tide Measurement Data Products"
"16","presf_operating_status","7","1440","Engineering","Status Data","Engineering Status Data"
"17","presf_calibration_coefficients","7","20160","Engineering","Calibration Data","Engineering Calibration Data"
"23","ctdbp_no_sample","7","1440","Science","Data Products","Science Data Products"
"24","ctdbp_no_hardware","7","20160","Engineering","Hardware Data","Engineering Hardware Data"
"25","ctdbp_no_calibration_coefficients","7","20160","Engineering","Calibration Data","Engineering Calibration Data"
"26","ctdbp_no_status","7","20160","Engineering","Status Data","Engineering Status Data"
"27","ctdbp_no_configuration","7","20160","Engineering","Configuration Data","Engineering Configuration Data"
"28","parad_sa_sample","7","720","Science","Data Products","Science Data Products"
"31","prest_real_time","7","20160","Science","Data Products","Science Data Products"
"32","prest_reference_oscillator","7","10080","Engineering","Reference Oscillator Data","Engineering Reference Oscillator Data"
"33","prest_configuration_data","7","20160","Engineering","Configuration Data","Engineering Configuration Data"
"34","prest_device_status","7","20160","Engineering","Device Status","Engineering Device Status"
"35","prest_event_counter","7","20160","Engineering","Event Counter Data","Engineering Event Counter Data"
"36","prest_hardware_data","7","20160","Engineering","Hardware Data","Engineering Hardware Data"
"41","phsen_control_record","7","20160",NULL,NULL,NULL
"43","pco2w_b_dev1_data_record","7","20160","Engineering","Dev1 Data","Engineering Dev1 Data"
"44","pco2w_a_regular_status","7","20160","Engineering","Status Data","Engineering Status Data"
"45","pco2w_a_configuration","7","20160","Engineering","Configuration Data","Engineering Configuration Data"
"47","trhph_sample","7","10080","Science","Data Products","Science Data Products"
"56","vel3d_cd_hardware_configuration","7","20160","Engineering","Hardware Configuration","Engineering Hardware Configuration"
"57","vel3d_cd_head_configuration","7","20160","Engineering","Header Configuration","Engineering Header Configuration"
"58","vel3d_cd_user_configuration","7","20160","Engineering","User Configuration","Engineering User Configuration"
"61","optaa_sample","7","720","Science","Data Products","Science Data Products"
"62","optaa_status","7","20160","Engineering","Status Data","Engineering Status Data"
"64","tmpsf_sample","7","10080","Science","Data Products","Science Data Products"
"65","tmpsf_engineering","7","20160","Engineering","Data","Engineering Data"
"67","vel3d_b_sample","7","1440","Science","Data Products","Science Data Products"
"68","vel3d_b_engineering","7","20160","Engineering","Data","Engineering Data"
"70","adcp_pd0_earth_parsed","7","1440","Science","Data Products",NULL
"71","adcp_pd12_parsed","7","1440",NULL,NULL,NULL
"72","adcp_waves_parsed","7","1440",NULL,NULL,NULL
"73","adcp_compass_calibration","7","20160","Calibration","Compass Data","Calibration Compass Data"
"74","adcp_system_configuration","7","20160","Engineering","System Configuration Data","Engineering System Configuration Data"
"75","vel3d_cd_data_header","7","20160","Engineering","Data Header","Engineering Data Header"
"76","vel3d_cd_velocity_data","7","360","Science","Data Products","Science Data Products"
"77","vel3d_cd_system_data","7","1440","Engineering","System Data","Engineering System Data"
"78","vel3d_clock_data","7","20160","Engineering","Clock Data","Engineering Clock Data"
"79","vel3d_cd_battery_voltage","7","20160","Engineering","Battery Voltage","Engineering Battery Voltage"
"80","vel3d_cd_identification_string","7","20160","Engineering","Identification String","Engineering Identification String"
"84","presf_wave_burst","7","1440","Science","Wave Burst Data Products","Science Wave Burst Data Products"
"85","presf_wave_statistics","7","1440","Science","Wave Statistics Data Products","Science Wave Statistics Data Products"
"87","botpt_nano_sample","7","180","Science","NANO Sensor Data Products","Science NANO Sensor Data Products"
"88","botpt_lily_sample","7","1440","Science","LILY Sensor Data Products","Science LILY Sensor Data Products"
"89","botpt_iris_sample","7","1440","Science","IRIS Sensor Data Products","Science IRIS Sensor Data Products"
"90","botpt_heat_sample","7","4320","Science","HEAT Sensor Data Products","Science HEAT Sensor Data Products"
"108","adcp_pd0_beam_parsed","7","1440","Science","Data Products",NULL
"111","pco2w_a_control_record","7","1440","Engineering","Control Record","Engineering Control Record"
"112","phsen_data_record","7","20160","Science","Data Products","Science Data Products"
"114","phsen_regular_status","7","20160","Engineering","Status Data","Engineering Status Data"
"115","phsen_configuration","7","20160","Engineering","Configuration Data","Engineering Configuration Data"
"121","pco2a_a_dcl_instrument_air","7","20160","Science","In-Air Data Products (DCL)","Science In-Air Data Products (DCL)"
"122","pco2a_a_dcl_instrument_water","7","20160","Science","In-Water Data Products (DCL)","Science In-Water Data Products (DCL)"
"124","metbk_sample","7","1440",NULL,NULL,NULL
"125","metbk_status","7","20160","Engineering","Status Data","Engineering Status Data"
"126","rasfl_sample_result","7","20160","Engineering","Pump Status","Engineering Pump Status"
"128","d1000_sample","7","10080","Science","Data Products","Science Data Products"
"129","ppsdn_sample_result","7","20160","Engineering","Pump Status","Engineering Pump Status"
"131","spkir_data_record","7","180","Science","Data Products","Science Data Products"
"133","flort_d_data_record","7","1440","Science","Data Products","Science Data Products"
"152","phsen_parsed","7","1440",NULL,NULL,NULL
"153","ctdpf_ckl_wfp_instrument","7","10080","Science","Data Products","Science Data Products"
"154","ctdpf_ckl_wfp_metadata","7","20160","Engineering","Metadata","Engineering Metadata"
"155","dofst_k_wfp_instrument","7","10080","Science","Data Products","Science Data Products"
"156","dofst_k_wfp_metadata","7","20160","Engineering","Metadata","Engineering Metadata"
"157","flort_kn_stc_imodem_instrument","7","1440","Science","Data Products (STC)","Science Data Products (STC)"
"158","parad_k__stc_imodem_instrument","7","20160","Science","Data Products (STC)","Science Data Products (STC)"
"159","wfp_eng_stc_imodem_status","7","20160","Engineering","STC Inductive Modem Status","Engineering STC Inductive Modem Status"
"160","wfp_eng_stc_imodem_engineering","7","20160","Engineering","STC Inductive Modem Data","Engineering STC Inductive Modem Data"
"161","rte_o_dcl_instrument","7","20160","Engineering","Radar Target Enhancer Data (DCL)","Engineering Radar Target Enhancer Data (DCL)"
"162","mopak_o_dcl_accel","7","180","Engineering","Accelerometer Data (DCL)","Engineering Accelerometer Data (DCL)"
"163","mopak_o_dcl_rate","7","1440","Engineering","Rate Data (DCL)","Engineering Rate Data (DCL)"
"164","vel3d_k_wfp_stc_instrument","7","10080","Science","Data Products (STC)","Science Data Products (STC)"
"165","vel3d_k_wfp_stc_metadata","7","20160","Engineering","Metadata (STC)","Engineering Metadata (STC)"
"167","adcps_jln_stc_metadata","7","20160","Engineering","Metadata (STC)","Engineering Metadata (STC)"
"168","wfp_eng_stc_imodem_start_time","7","20160","Engineering","STC Inductive Modem Start Time","Engineering STC Inductive Modem Start Time"
"170","vel3d_k_wfp_instrument","7","4320","Science","Data Products","Science Data Products"
"171","ctdgv_m_glider_instrument","7","20160","Science","Data Products","Science Data Products"
"172","dosta_abcdjm_glider_instrument","7","20160","Science","Data Products","Science Data Products"
"173","dosta_abcdjm_glider_recovered","7","4320","Science","Data Products","Science Data Products"
"174","flord_m_glider_instrument","7","20160","Science","Data Products","Science Data Products"
"175","flort_m_glider_instrument","7","1440","Science","Data Products","Science Data Products"
"176","flort_m_glider_recovered","7","1440","Science","Data Products","Science Data Products"
"177","parad_m_glider_instrument","7","20160","Science","Data Products","Science Data Products"
"178","parad_m_glider_recovered","7","360","Science","Data Products","Science Data Products"
"179","glider_eng_telemetered","7","1440","Engineering","Data","Engineering Data"
"180","glider_eng_recovered","7","1440","Engineering","Data","Engineering Data"
"181","glider_eng_sci_telemetered","7","20160","Engineering","Science Status Data","Engineering Science Status Data"
"182","glider_eng_metadata","7","20160","Engineering","Metadata","Engineering Metadata"
"183","glider_eng_sci_recovered","7","20160","Engineering","Science Status Data","Engineering Science Status Data"
"184","cg_stc_eng_stc","7","20160","Engineering","STC Controller Status Data","Engineering STC Controller Status Data"
"186","dosta_ln_wfp_instrument","7","20160","Science","Data Products","Science Data Products"
"187","dosta_ln_wfp_sio_instrument","7","1440",NULL,NULL,NULL
"188","flord_l_wfp_instrument","7","20160","Science","Data Products","Science Data Products"
